"","1","2","3","4","5","6","7","8","9","10","11"
"260","CIN","CIN","","","","","","","","",""
"261","ARI","","","","","","","","","",""
"262","HOU","","","","","","","","","",""
"263","BOS","BOS","","","","","","","","",""
"264","OAK","ARI","BOS","BOS","BOS","BOS","MIA","","","",""
"265","TBA","","","","","","","","","",""
"266","ARI","","","","","","","","","",""
"267","MIA","","","","","","","","","",""
"268","BAL","","","","","","","","","",""
"269","ATL","","","","","","","","","",""
"270","TBA","TBA","COL","NYA","PHI","MIA","ATL","","","",""
"271","ARI","ARI","","","","","","","","",""
"272","BOS","BOS","","","","","","","","",""
"273","BAL","BAL","BAL","BAL","BAL","BAL","","","","",""
"274","SFN","SFN","","","","","","","","",""
"275","WAS","","","","","","","","","",""
"276","KCA","KCA","OAK","","","","","","","",""
"277","COL","COL","COL","COL","COL","","","","","",""
"278","SLN","COL","NYN","NYN","","","","","","",""
"279","SLN","","","","","","","","","",""
"280","COL","COL","","","","","","","","",""
"281","WAS","WAS","WAS","BOS","","","","","","",""
"282","PHI","PHI","PHI","PHI","PHI","","","","","",""
"283","PIT","","","","","","","","","",""
"284","SFN","","","","","","","","","",""
"285","MIA","","","","","","","","","",""
"286","SFN","SFN","","","","","","","","",""
"287","LAN","KCA","CIN","CIN","CIN","MIL","MIL","SLN","SLN","",""
"288","PIT","MIL","","","","","","","","",""
"289","CIN","CIN","CIN","CIN","CIN","CIN","NYN","","","",""
"290","PHI","","","","","","","","","",""
"291","CHA","CHA","","","","","","","","",""
"292","CHN","CHN","","","","","","","","",""
"293","PHI","PHI","","","","","","","","",""
"294","HOU","HOU","CHN","","","","","","","",""
"295","BOS","BOS","BOS","BOS","BOS","BOS","","","","",""
"296","NYN","","","","","","","","","",""
"297","ATL","SDN","","","","","","","","",""
"298","FLO","MIA","NYN","PIT","SEA","LAA","","","","",""
"299","LAA","SDN","","","","","","","","",""
"300","CLE","HOU","","","","","","","","",""
"301","CHA","MIA","TOR","TOR","TOR","","","","","",""
"302","KCA","KCA","KCA","","","","","","","",""
"303","FLO","TBA","","","","","","","","",""
"304","LAA","","","","","","","","","",""
"305","SFN","SFN","SFN","SFN","SFN","SFN","","","","",""
"306","BAL","BAL","","","","","","","","",""
"307","NYA","ATL","","","","","","","","",""
"308","ARI","ARI","","","","","","","","",""
"309","MIL","","","","","","","","","",""
"310","NYN","","","","","","","","","",""
"311","NYA","PIT","PIT","PHI","PIT","","","","","",""
"312","MIN","MIN","BAL","CHN","","","","","","",""
"313","WAS","WAS","LAA","LAA","WAS","","","","","",""
"314","TOR","","","","","","","","","",""
"315","OAK","OAK","OAK","KCA","","","","","","",""
"316","SDN","TEX","","","","","","","","",""
"317","PIT","","","","","","","","","",""
"318","SFN","","","","","","","","","",""
"319","SFN","SFN","WAS","PHI","","","","","","",""
"320","ARI","MIN","","","","","","","","",""
"321","CIN","MIN","MIN","MIN","","","","","","",""
"322","ARI","","","","","","","","","",""
"323","TEX","TOR","","","","","","","","",""
"324","TEX","","","","","","","","","",""
"325","LAN","LAA","","","","","","","","",""
"326","MIN","MIN","MIN","LAN","LAN","LAA","KCA","KCA","","",""
"327","KCA","KCA","KCA","KCA","OAK","OAK","NYA","","","",""
"328","BOS","","","","","","","","","",""
"329","COL","COL","COL","","","","","","","",""
"330","TEX","SLN","TBA","","","","","","","",""
"331","SLN","SLN","","","","","","","","",""
"332","MIN","MIN","","","","","","","","",""
"333","NYN","NYN","NYN","","","","","","","",""
"334","CHN","CHN","BOS","NYN","PIT","PHI","CIN","SFN","CLE","",""
"335","NYA","NYA","BAL","","","","","","","",""
"336","CHN","CHN","","","","","","","","",""
"337","CLE","CLE","CLE","CLE","WAS","TBA","NYN","","","",""
"338","COL","","","","","","","","","",""
"339","SDN","SDN","SDN","SDN","BAL","","","","","",""
"340","ATL","","","","","","","","","",""
"341","KCA","SFN","TOR","TOR","CHA","CHA","","","","",""
"342","DET","DET","DET","DET","DET","DET","","","","",""
"343","CLE","SFN","","","","","","","","",""
"344","CIN","CIN","","","","","","","","",""
"345","OAK","ARI","ARI","ARI","ATL","CHN","CHN","","","",""
"346","KCA","KCA","KCA","KCA","KCA","KCA","","","","",""
"347","SFN","SFN","SFN","SFN","SFN","SFN","","","","",""
"348","CIN","CIN","","","","","","","","",""
"349","LAA","LAA","LAA","LAA","LAA","","","","","",""
"350","KCA","","","","","","","","","",""
"351","LAA","LAA","LAA","OAK","OAK","ATL","LAN","","","",""
"352","BOS","FLO","","","","","","","","",""
"353","MIA","MIA","PIT","PIT","SEA","","","","","",""
"354","CHN","CHN","ARI","ARI","LAA","","","","","",""
"355","NYN","NYN","NYN","","","","","","","",""
"356","ARI","","","","","","","","","",""
"357","SDN","SDN","SDN","","","","","","","",""
"358","TOR","CHN","CHN","PHI","","","","","","",""
"359","HOU","","","","","","","","","",""
"360","CHN","","","","","","","","","",""
"361","OAK","OAK","","","","","","","","",""
"362","NYA","NYA","NYA","SEA","SEA","SEA","","","","",""
"363","SDN","","","","","","","","","",""
"364","TBA","CLE","","","","","","","","",""
"365","SEA","SEA","MIA","MIA","","","","","","",""
"366","MIN","MIN","","","","","","","","",""
"367","NYN","LAN","LAN","BOS","NYA","NYA","MIL","","","",""
"368","COL","","","","","","","","","",""
"369","CHN","","","","","","","","","",""
"370","COL","","","","","","","","","",""
"371","OAK","OAK","","","","","","","","",""
"372","CLE","","","","","","","","","",""
"373","NYA","NYN","NYN","","","","","","","",""
"374","CLE","CLE","TBA","PHI","LAN","HOU","ATL","","","",""
"375","PHI","SDN","TOR","","","","","","","",""
"376","SLN","SLN","","","","","","","","",""
"377","CHN","BOS","","","","","","","","",""
"378","HOU","HOU","TOR","ATL","ATL","NYA","WAS","","","",""
"379","LAA","LAA","LAA","ATL","","","","","","",""
"380","SLN","SLN","SLN","SLN","SLN","SLN","","","","",""
"381","SEA","SEA","BOS","BOS","TEX","","","","","",""
"382","CLE","CLE","CLE","CLE","CLE","","","","","",""
"383","NYN","NYN","","","","","","","","",""
"384","CLE","CLE","PHI","CLE","DET","TOR","TOR","","","",""
"385","TOR","TOR","","","","","","","","",""
"386","MIL","WAS","","","","","","","","",""
"387","LAN","MIN","MIN","KCA","","","","","","",""
"388","CHA","CHA","CHA","","","","","","","",""
"389","MIN","CLE","","","","","","","","",""
"390","NYN","NYN","","","","","","","","",""
"391","OAK","OAK","HOU","HOU","HOU","MIL","","","","",""
"392","TBA","TBA","TBA","","","","","","","",""
"393","CHN","SDN","SDN","SDN","SDN","SDN","MIA","","","",""
"394","MIN","MIN","BAL","BAL","","","","","","",""
"395","LAA","LAA","","","","","","","","",""
"396","LAN","LAN","","","","","","","","",""
"397","DET","DET","DET","DET","","","","","","",""
"398","ARI","","","","","","","","","",""
"399","CHN","","","","","","","","","",""
"400","BOS","BOS","BOS","","","","","","","",""
"401","CHN","CHN","CHN","CHN","CHN","SEA","ARI","ARI","","",""
"402","OAK","","","","","","","","","",""
"403","ATL","ATL","","","","","","","","",""
"404","HOU","HOU","HOU","HOU","HOU","","","","","",""
"405","LAN","","","","","","","","","",""
"406","TOR","COL","COL","","","","","","","",""
"407","CHA","","","","","","","","","",""
"408","CHA","COL","","","","","","","","",""
"409","CHN","CHN","CHN","CHN","CHN","NYA","","","","",""
"410","BOS","BOS","","","","","","","","",""
"411","NYN","","","","","","","","","",""
"412","TOR","TOR","TOR","TOR","TOR","TOR","","","","",""
"413","NYN","TOR","","","","","","","","",""
"414","FLO","","","","","","","","","",""
"415","PIT","NYN","HOU","SDN","PHI","","","","","",""
"416","HOU","HOU","HOU","WAS","WAS","WAS","TBA","TBA","","",""
"417","NYN","NYN","MIL","MIN","","","","","","",""
"418","NYA","NYA","NYA","NYA","PIT","PIT","","","","",""
"419","ATL","MIA","","","","","","","","",""
"420","OAK","OAK","OAK","BOS","DET","NYN","NYN","","","",""
"421","NYA","","","","","","","","","",""
"422","COL","COL","COL","COL","ARI","ATL","LAA","","","",""
"423","ARI","ARI","ARI","","","","","","","",""
"424","SLN","SLN","SLN","","","","","","","",""
"425","NYA","NYA","NYA","DET","DET","KCA","CLE","","","",""
"426","CIN","CIN","CIN","CIN","CIN","NYA","CHN","","","",""
"427","CHN","","","","","","","","","",""
"428","HOU","HOU","HOU","HOU","","","","","","",""
"429","MIN","","","","","","","","","",""
"430","LAA","COL","COL","COL","COL","","","","","",""
"431","TEX","BAL","SEA","SEA","","","","","","",""
"432","NYA","NYA","ARI","ARI","","","","","","",""
"433","KCA","TOR","OAK","OAK","OAK","OAK","TOR","LAN","","",""
"434","KCA","KCA","KCA","KCA","CLE","","","","","",""
"435","BAL","BAL","BAL","BAL","MIA","","","","","",""
"436","TBA","TEX","TEX","TEX","TEX","","","","","",""
"437","CLE","CLE","CLE","CLE","CLE","CLE","","","","",""
"438","FLO","MIA","LAN","SLN","SLN","SLN","","","","",""
"439","OAK","TEX","TEX","","","","","","","",""
"440","LAA","","","","","","","","","",""
"441","CLE","CLE","CIN","TEX","TEX","TEX","","","","",""
"442","SFN","SFN","","","","","","","","",""
"443","CIN","CIN","","","","","","","","",""
"444","MIL","","","","","","","","","",""
"445","CIN","CIN","CIN","CIN","CIN","","","","","",""
"446","PIT","BOS","BOS","SDN","KCA","KCA","ATL","","","",""
"447","FLO","MIA","MIA","MIA","MIA","SLN","SEA","","","",""
"448","HOU","HOU","","","","","","","","",""
"449","NYA","NYA","","","","","","","","",""
"450","HOU","","","","","","","","","",""
"451","MIL","","","","","","","","","",""
"452","BAL","","","","","","","","","",""
"453","TEX","TEX","TEX","","","","","","","",""
"454","PIT","","","","","","","","","",""
"455","HOU","HOU","MIA","SDN","","","","","","",""
"456","SLN","SLN","SLN","CHA","","","","","","",""
"457","CHN","CHN","CHN","BAL","BAL","BAL","SEA","","","",""
"458","CLE","","","","","","","","","",""
"459","WAS","WAS","WAS","WAS","OAK","NYN","ARI","NYA","","",""
"460","PHI","PHI","","","","","","","","",""
"461","CHA","","","","","","","","","",""
"462","TBA","TBA","TBA","TBA","TBA","","","","","",""
"463","TOR","LAA","","","","","","","","",""
"464","WAS","LAN","","","","","","","","",""
"465","FLO","MIA","MIA","CHN","CHN","OAK","CHN","","","",""
"466","DET","DET","DET","DET","CHN","TOR","NYA","PIT","","",""
"467","MIN","MIN","TOR","TOR","","","","","","",""
"468","WAS","WAS","","","","","","","","",""
"469","PIT","PIT","PIT","PIT","","","","","","",""
"470","CHN","CHN","KCA","","","","","","","",""
"471","KCA","","","","","","","","","",""
"472","KCA","KCA","KCA","KCA","KCA","LAN","","","","",""
"473","KCA","KCA","KCA","KCA","","","","","","",""
"474","DET","DET","DET","","","","","","","",""
"475","ARI","ARI","ARI","ARI","ARI","ARI","ATL","","","",""
"476","TBA","TBA","TBA","TBA","","","","","","",""
"477","NYA","OAK","OAK","NYN","NYN","NYN","","","","",""
"478","KCA","KCA","KCA","","","","","","","",""
"479","CLE","","","","","","","","","",""
"480","KCA","","","","","","","","","",""
"481","CHN","COL","COL","SFN","","","","","","",""
"482","CHN","","","","","","","","","",""
"483","NYN","NYN","","","","","","","","",""
"484","LAA","LAA","LAA","LAA","HOU","TBA","","","","",""
"485","MIA","MIA","","","","","","","","",""
"486","ATL","MIL","TBA","SDN","","","","","","",""
"487","ATL","ATL","ATL","ATL","","","","","","",""
"488","CIN","CIN","","","","","","","","",""
"489","PHI","PHI","PIT","","","","","","","",""
"490","CHN","","","","","","","","","",""
"491","COL","BOS","","","","","","","","",""
"492","ARI","OAK","OAK","OAK","OAK","BOS","","","","",""
"493","SLN","","","","","","","","","",""
"494","TOR","TOR","","","","","","","","",""
"495","TOR","","","","","","","","","",""
"496","WAS","","","","","","","","","",""
"497","ARI","ARI","ARI","ARI","","","","","","",""
"498","CIN","","","","","","","","","",""
"499","CIN","TOR","HOU","","","","","","","",""
"500","SFN","MIA","","","","","","","","",""
"501","LAN","","","","","","","","","",""
"502","ATL","","","","","","","","","",""
"503","CHN","COL","","","","","","","","",""
"504","HOU","HOU","HOU","HOU","TEX","","","","","",""
"505","HOU","HOU","","","","","","","","",""
"506","PIT","PIT","MIN","MIN","LAN","PHI","","","","",""
"507","SEA","","","","","","","","","",""
"508","HOU","HOU","MIA","MIA","MIA","SDN","","","","",""
"509","CIN","","","","","","","","","",""
"510","NYA","CIN","","","","","","","","",""
"511","OAK","","","","","","","","","",""
"512","TEX","TEX","MIL","MIN","","","","","","",""
"513","LAN","LAN","OAK","OAK","","","","","","",""
"514","MIL","","","","","","","","","",""
"515","FLO","MIA","LAA","","","","","","","",""
"516","LAA","LAA","","","","","","","","",""
"517","ARI","OAK","NYN","LAA","LAA","LAA","CLE","","","",""
"518","CIN","CIN","CIN","CIN","CIN","CIN","","","","",""
"519","SLN","SLN","SLN","SLN","BOS","BOS","","","","",""
"520","CHA","CHA","CHA","","","","","","","",""
"521","OAK","","","","","","","","","",""
"522","MIL","MIL","","","","","","","","",""
"523","SFN","SFN","SFN","SFN","SFN","SFN","","","","",""
"524","BOS","BOS","LAN","LAN","LAN","LAN","","","","",""
"525","TOR","","","","","","","","","",""
"526","OAK","OAK","OAK","OAK","OAK","OAK","CLE","","","",""
"527","CLE","CLE","CLE","","","","","","","",""
"528","LAA","LAA","LAA","","","","","","","",""
"529","DET","","","","","","","","","",""
"530","PIT","","","","","","","","","",""
"531","KCA","KCA","KCA","KCA","","","","","","",""
"532","CLE","HOU","","","","","","","","",""
"533","TBA","PIT","","","","","","","","",""
"534","LAN","LAN","NYA","","","","","","","",""
"535","TEX","TEX","TEX","BAL","SEA","SEA","","","","",""
"536","HOU","HOU","","","","","","","","",""
"537","SLN","SLN","SLN","SLN","SLN","KCA","","","","",""
"538","MIN","COL","COL","COL","NYN","","","","","",""
"539","CIN","CIN","CIN","CIN","CIN","KCA","SFN","","","",""
"540","BOS","","","","","","","","","",""
"541","SFN","COL","COL","LAN","","","","","","",""
"542","PIT","PIT","","","","","","","","",""
"543","SDN","CLE","","","","","","","","",""
"544","ATL","ATL","","","","","","","","",""
"545","ATL","ATL","LAA","","","","","","","",""
"546","SLN","","","","","","","","","",""
"547","ARI","","","","","","","","","",""
"548","SEA","","","","","","","","","",""
"549","KCA","KCA","","","","","","","","",""
"550","COL","","","","","","","","","",""
"551","COL","NYA","NYA","","","","","","","",""
"552","TBA","CLE","","","","","","","","",""
"553","CHA","","","","","","","","","",""
"554","CHA","CHA","CHA","CHA","CHA","CHA","","","","",""
"555","CHA","CHA","CHA","PHI","","","","","","",""
"556","PIT","PIT","PIT","PHI","ATL","","","","","",""
"557","NYN","NYN","NYN","NYN","","","","","","",""
"558","SDN","SDN","","","","","","","","",""
"559","MIN","","","","","","","","","",""
"560","TEX","TEX","TEX","TEX","","","","","","",""
"561","ARI","CHA","","","","","","","","",""
"562","KCA","NYA","","","","","","","","",""
"563","MIL","MIL","","","","","","","","",""
"564","BAL","","","","","","","","","",""
"565","TEX","BAL","BAL","BAL","BAL","BAL","BAL","","","",""
"566","CHN","","","","","","","","","",""
"567","WAS","","","","","","","","","",""
"568","NYN","NYN","NYN","NYN","PIT","OAK","NYA","","","",""
"569","MIL","MIL","MIL","OAK","","","","","","",""
