Customer ID,Customer Age,Omni Customer,Total Visits,Avg Spending ($),Customer City,Customer State,Device Type,Has Used Promotions
NQ574,27,No,40,78.94,Washington,DC,Android,Yes
WL374,33,No,13,78.91,Los Angeles,CA,Windows,No
KA852,38,No,3,78.77,Austin,TX,Android,Yes
CB662,40,Yes,5,78.76,San Francisco,CA,Windows,Yes
KB118,30,No,4,78.75,Austin,TX,iOS,Yes
TS177,52,No,21,78.74,Charlotte,NC,Windows,No
HQ541,23,No,37,78.7,Fort Worth,TX,Windows,No
YD148,36,No,34,78.57,Charlotte,NC,Android,No
RZ633,50,Yes,25,78.52,San Jose,CA,Windows,No
EV365,55,No,15,78.41,Los Angeles,CA,iOS,No
QK755,29,Yes,14,78.4,San Francisco,CA,Android,Yes
OZ691,31,No,39,78.39,Austin,TX,Android,Yes
LH451,33,No,34,78.3,Indianapolis,IN,iOS,Yes
VV769,34,Yes,11,78.28,San Diego,CA,Windows,No
ZR211,44,No,36,78.27,Columbus,OH,Windows,No
JJ893,24,No,12,78.26,Fort Worth,TX,Android,No
DM345,30,Yes,7,78.23,Dallas,TX,Windows,Yes
GE695,23,Yes,26,78.22,Jacksonville,FL,iOS,Yes
JL300,23,No,3,78.07,Los Angeles,CA,iOS,Yes
LK304,45,No,4,78.01,Los Angeles,CA,iOS,Yes
TN561,40,No,33,78,Austin,TX,Android,Yes
UD100,35,No,9,77.99,Austin,TX,Windows,Yes
NP390,46,Yes,29,77.95,San Francisco,CA,Android,No
OH103,55,No,12,77.94,Phoenix,AZ,Android,No
WP111,36,Yes,32,77.85,Austin,TX,Windows,No
IY148,45,No,19,77.78,Columbus,OH,iOS,No
RH258,44,No,6,77.78,Chicago,IL,iOS,Yes
RZ920,23,No,24,77.77,San Francisco,CA,iOS,Yes
NL500,25,No,8,77.76,San Francisco,CA,iOS,Yes
GP746,45,No,5,77.73,San Francisco,CA,Android,Yes
WV859,52,No,37,77.68,Chicago,IL,iOS,No
AH623,33,No,23,77.59,Phoenix,AZ,Android,Yes
MU314,45,Yes,36,77.54,San Diego,CA,Android,Yes
QP167,43,No,39,77.41,San Antonio,TX,iOS,Yes
QO971,35,No,40,77.31,Jacksonville,FL,iOS,Yes
PA301,45,No,29,77.3,Phoenix,AZ,iOS,No
NQ246,26,No,39,77.26,Austin,TX,Android,Yes
PI387,29,Yes,35,77.25,Phoenix,AZ,Android,Yes
EE582,31,Yes,18,77.19,San Francisco,CA,Android,Yes
XB961,39,No,33,77.12,Washington,DC,Windows,No
ER613,32,Yes,18,77.06,Phoenix,AZ,iOS,No
FN717,39,No,39,76.99,Chicago,IL,iOS,Yes
DL293,36,No,28,76.97,Phoenix,AZ,iOS,Yes
CK825,44,No,19,76.97,Fort Worth,TX,Windows,Yes
BL379,23,No,14,76.95,Philadelphia,PA,Android,Yes
AM169,46,No,33,76.89,New York,NY,iOS,Yes
BM368,24,Yes,40,76.89,Philadelphia,PA,Android,No
LD451,30,No,26,76.87,San Jose,CA,Android,Yes
UX750,65,No,38,76.84,San Diego,CA,iOS,No
KA722,44,No,30,76.77,Indianapolis,IN,Android,Yes
FB843,33,No,10,76.76,Philadelphia,PA,Android,Yes
PZ155,37,No,24,76.66,Indianapolis,IN,iOS,Yes
TW992,40,No,11,76.53,Los Angeles,CA,Android,Yes
EE823,43,Yes,30,76.47,Columbus,OH,iOS,Yes
GC284,43,No,33,76.47,Seattle,WA,iOS,Yes
FC403,32,Yes,39,76.45,Seattle,WA,Windows,Yes
SH437,30,No,6,76.37,Philadelphia,PA,Android,No
WU587,37,No,27,76.34,Charlotte,NC,Windows,Yes
WD435,57,No,20,76.3,Denver,CO,iOS,No
MA315,37,No,10,76.28,Columbus,OH,Windows,No
GE258,23,Yes,12,76.25,Fort Worth,TX,Windows,Yes
VQ536,32,No,9,76.21,San Francisco,CA,iOS,Yes
QH189,43,Yes,17,76.2,Phoenix,AZ,Android,Yes
VK186,49,Yes,40,76.2,New York,NY,Windows,Yes
XD672,32,No,39,76.08,San Francisco,CA,Windows,No
QX705,27,No,1,76.05,Phoenix,AZ,iOS,Yes
SO328,36,No,37,76.05,Jacksonville,FL,Android,No
HC752,42,Yes,7,76.03,Chicago,IL,Android,No
TX712,43,No,4,75.99,San Jose,CA,Android,Yes
BJ155,33,No,24,75.98,Dallas,TX,Windows,Yes
CN539,34,No,37,75.95,Jacksonville,FL,Windows,No
UD958,33,No,27,75.89,Seattle,WA,iOS,No
KZ394,37,No,37,75.79,San Antonio,TX,Android,Yes
UM972,33,Yes,23,75.77,Dallas,TX,iOS,No
NM497,24,Yes,40,75.73,Philadelphia,PA,Windows,Yes
ZU937,25,No,11,75.73,Denver,CO,Windows,No
KB258,49,No,39,75.66,San Jose,CA,Android,Yes
GF820,30,Yes,3,75.65,San Francisco,CA,Windows,Yes
OT545,29,No,15,75.61,Austin,TX,iOS,No
UV292,24,Yes,3,75.56,Houston,TX,iOS,Yes
JD605,23,No,12,75.56,Washington,DC,iOS,Yes
ZT526,27,No,33,75.54,Austin,TX,iOS,No
AJ461,47,No,31,75.53,San Jose,CA,iOS,Yes
FX487,43,Yes,22,75.46,Fort Worth,TX,iOS,Yes
MU254,45,No,40,75.46,Denver,CO,iOS,Yes
DG847,35,Yes,40,75.41,Indianapolis,IN,Windows,Yes
FO419,23,No,34,75.37,San Francisco,CA,Android,No
YT487,34,No,21,75.35,Phoenix,AZ,iOS,No
PT492,36,No,30,75.34,Charlotte,NC,iOS,No
YI503,29,No,29,75.34,Houston,TX,iOS,Yes
RB740,42,No,29,75.33,San Francisco,CA,iOS,Yes
GM450,44,No,4,75.32,Columbus,OH,Android,Yes
QD318,23,Yes,34,75.3,San Jose,CA,Windows,Yes
FH510,32,Yes,39,75.28,Dallas,TX,Android,Yes
JV978,33,No,10,75.28,Washington,DC,Android,Yes
PB847,32,No,17,75.28,Philadelphia,PA,Windows,Yes
JV208,29,No,4,75.27,Jacksonville,FL,Windows,Yes
DI432,31,No,4,75.26,Charlotte,NC,Android,No
CD963,28,No,8,75.22,San Antonio,TX,Windows,No
FC309,24,Yes,38,75.21,New York,NY,iOS,No
FQ906,33,No,25,75.21,Charlotte,NC,iOS,Yes
PA814,31,No,12,75.16,San Diego,CA,iOS,No
TP693,40,No,19,75.14,Jacksonville,FL,Android,Yes
EN449,27,No,29,75.12,Seattle,WA,Windows,Yes
PM316,37,Yes,10,75.09,Fort Worth,TX,iOS,Yes
VY982,33,Yes,11,75.09,Columbus,OH,iOS,Yes
AV351,50,No,11,75.09,Dallas,TX,Android,Yes
OB331,23,Yes,3,75.08,Columbus,OH,Windows,No
UU497,31,No,27,75.07,Austin,TX,Android,Yes
OX791,33,No,10,75.05,Austin,TX,iOS,Yes
RA863,29,Yes,25,75.03,Houston,TX,iOS,No
JT124,28,No,17,75.03,Dallas,TX,Android,Yes
FY527,31,Yes,6,75.01,Dallas,TX,Windows,Yes
BO449,41,No,9,75.01,Philadelphia,PA,Windows,Yes
DG203,23,No,8,75.01,Jacksonville,FL,Windows,Yes
GX849,50,Yes,20,75,Seattle,WA,Windows,No
HR106,40,Yes,39,74.96,Dallas,TX,iOS,Yes
XN179,27,Yes,7,74.96,Phoenix,AZ,Android,Yes
HL475,41,No,21,74.95,San Jose,CA,Android,Yes
TY143,31,No,14,74.9,Houston,TX,Windows,Yes
EN336,28,Yes,14,74.85,Chicago,IL,Windows,No
RV930,42,No,6,74.83,Chicago,IL,Android,No
GS928,44,No,22,74.74,Phoenix,AZ,Windows,Yes
ST135,23,No,34,74.72,Phoenix,AZ,iOS,Yes
XR376,35,No,31,74.67,Denver,CO,Windows,Yes
XE507,40,Yes,18,74.62,Los Angeles,CA,Android,No
EJ126,40,No,18,74.59,Charlotte,NC,Windows,Yes
WQ512,26,No,3,74.51,Washington,DC,Android,Yes
RG732,29,No,39,74.51,San Jose,CA,Android,No
YX224,23,No,24,74.46,Columbus,OH,Windows,Yes
QE878,27,No,24,74.36,San Jose,CA,iOS,Yes
GU796,38,Yes,32,74.35,Charlotte,NC,Windows,Yes
DO478,23,Yes,12,74.33,Washington,DC,Android,Yes
ZG615,26,Yes,26,74.3,Chicago,IL,iOS,No
OO609,33,No,11,74.27,San Jose,CA,Windows,Yes
ZJ611,44,No,13,74.26,Dallas,TX,Android,Yes
DK950,30,No,21,74.23,Indianapolis,IN,Android,Yes
EO227,59,Yes,29,74.19,Denver,CO,Windows,Yes
QS218,33,No,9,74.17,San Antonio,TX,Windows,Yes
LH941,42,No,39,74.02,Chicago,IL,iOS,Yes
SK702,23,Yes,29,73.84,Phoenix,AZ,Android,Yes
VT629,34,No,30,73.84,Philadelphia,PA,iOS,Yes
UT880,23,No,35,73.83,Jacksonville,FL,iOS,No
QF628,23,Yes,21,73.8,Charlotte,NC,Windows,Yes
PH754,26,No,7,73.75,Dallas,TX,Android,Yes
NH678,48,No,27,73.74,Charlotte,NC,Android,Yes
ZT543,47,No,5,73.68,Columbus,OH,Android,No
JL535,40,No,4,73.64,New York,NY,iOS,No
BO250,23,No,10,73.64,San Jose,CA,iOS,Yes
CB201,51,No,10,73.53,Chicago,IL,iOS,Yes
YV224,32,Yes,36,73.5,Jacksonville,FL,iOS,No
PC764,33,Yes,36,73.38,New York,NY,Android,Yes
VR679,34,No,25,73.34,San Francisco,CA,iOS,Yes
TX268,23,No,33,73.29,Philadelphia,PA,Windows,Yes
SG907,42,Yes,40,73.21,Austin,TX,Windows,No
XX190,27,No,21,73.1,Dallas,TX,Windows,Yes
SK477,35,No,9,72.99,San Diego,CA,Android,Yes
CY165,37,Yes,26,72.95,Jacksonville,FL,iOS,Yes
DM898,27,Yes,23,72.89,San Jose,CA,iOS,Yes
PY296,32,Yes,40,72.85,Chicago,IL,Android,Yes
BD386,29,Yes,15,72.74,Austin,TX,Android,Yes
AX166,26,No,3,72.7,Los Angeles,CA,iOS,No
BE626,24,No,38,72.63,Houston,TX,Android,No
SS221,23,Yes,29,72.52,Seattle,WA,Windows,Yes
UY679,31,No,23,72.51,Denver,CO,Windows,Yes
PN875,33,No,31,72.49,Fort Worth,TX,Android,Yes
QK833,44,No,27,72.46,San Antonio,TX,Android,Yes
FU916,31,Yes,37,72.43,Chicago,IL,Windows,Yes
VG645,41,No,13,72.34,Washington,DC,Windows,Yes
VD678,34,Yes,28,72.32,San Antonio,TX,Windows,Yes
YJ486,48,No,6,72.31,New York,NY,iOS,No
FK506,37,Yes,12,72.3,Houston,TX,Windows,No
RA313,23,No,9,72.28,Washington,DC,Windows,Yes
MT564,42,No,19,72.27,Washington,DC,Android,No
KG602,23,Yes,30,72.23,Chicago,IL,Windows,Yes
YO269,23,Yes,20,72.19,Philadelphia,PA,iOS,No
DG900,35,Yes,22,72.15,Indianapolis,IN,iOS,No
LV236,28,Yes,36,72.1,Houston,TX,Android,Yes
XA614,42,Yes,14,72.1,Fort Worth,TX,Windows,Yes
MS736,35,No,11,71.94,Austin,TX,iOS,No
IS318,46,No,18,71.93,Charlotte,NC,Android,No
RM579,23,No,10,71.9,Philadelphia,PA,Android,No
YT254,23,No,36,71.9,Denver,CO,iOS,Yes
HW142,29,No,29,71.86,Jacksonville,FL,iOS,Yes
BG535,23,Yes,3,71.77,San Diego,CA,iOS,Yes
BN957,25,Yes,8,71.76,Charlotte,NC,iOS,Yes
YC401,37,No,39,71.75,Seattle,WA,Android,Yes
JV198,42,No,19,71.64,Washington,DC,iOS,No
LN898,34,Yes,37,71.61,Indianapolis,IN,Android,Yes
XG405,43,Yes,27,71.61,San Jose,CA,iOS,Yes
LS996,47,No,11,71.6,Jacksonville,FL,Windows,Yes
MM681,26,No,14,71.59,Los Angeles,CA,Android,No
UC331,46,No,36,71.58,Austin,TX,Android,Yes
IC434,43,No,9,71.57,Chicago,IL,Windows,Yes
GY973,49,Yes,23,71.56,San Antonio,TX,iOS,Yes
TP771,24,Yes,33,71.54,San Diego,CA,iOS,No
CU135,37,No,30,71.53,Charlotte,NC,iOS,Yes
NI308,42,No,17,71.48,Charlotte,NC,Android,Yes
CA742,47,No,13,71.47,Charlotte,NC,Windows,No
TR325,31,No,11,71.4,Denver,CO,iOS,Yes
GJ581,43,No,12,71.38,San Diego,CA,Android,No
OU191,24,Yes,11,71.33,Dallas,TX,Android,Yes
BG325,23,Yes,12,71.31,Fort Worth,TX,Android,No
GI592,30,No,7,71.24,Jacksonville,FL,Windows,Yes
BU854,23,Yes,31,71.15,Seattle,WA,Windows,Yes
QA283,39,No,35,71.05,Columbus,OH,Android,Yes
PZ920,40,No,21,71.04,Los Angeles,CA,Android,Yes
MC802,23,Yes,8,71.03,Dallas,TX,iOS,No
HQ145,40,Yes,32,70.97,San Francisco,CA,Windows,Yes
HC756,39,No,34,70.88,Charlotte,NC,iOS,Yes
OC593,29,No,27,70.85,Denver,CO,iOS,Yes
PQ821,23,No,36,70.83,Jacksonville,FL,iOS,Yes
ZL531,41,No,37,70.83,Indianapolis,IN,Android,No
LJ482,26,No,5,70.72,Charlotte,NC,Windows,No
HY937,26,No,36,70.7,Indianapolis,IN,Windows,No
WD297,46,Yes,25,70.67,Columbus,OH,iOS,Yes
ZO466,28,No,4,70.66,Jacksonville,FL,iOS,Yes
AL415,40,No,6,70.66,San Diego,CA,Windows,Yes
OR738,34,Yes,11,70.6,San Diego,CA,Windows,Yes
TL842,48,Yes,35,70.58,Dallas,TX,iOS,No
ZG351,23,No,31,70.58,Denver,CO,iOS,Yes
EZ945,48,No,38,70.56,Chicago,IL,Windows,Yes
ZZ217,42,Yes,20,70.55,Washington,DC,iOS,Yes
QZ960,38,No,31,70.39,Charlotte,NC,iOS,No
RX195,32,No,3,70.35,Philadelphia,PA,Android,Yes
SV994,47,Yes,385,70.29,Indianapolis,IN,iOS,Yes
RS711,48,No,17,70.29,Charlotte,NC,Android,Yes
WQ244,47,No,24,70.28,San Antonio,TX,iOS,No
JO988,31,No,28,70.23,San Jose,CA,Windows,No
AP373,35,Yes,27,70.21,Columbus,OH,iOS,Yes
FW506,27,Yes,24,70.21,Columbus,OH,iOS,Yes
AE456,35,Yes,24,70.18,San Jose,CA,Windows,Yes
PX844,27,Yes,17,70.18,Indianapolis,IN,iOS,No
YY903,56,No,19,70.13,Denver,CO,Windows,Yes
EY660,33,Yes,18,70,San Jose,CA,iOS,Yes
DO663,34,Yes,13,69.88,Fort Worth,TX,Android,Yes
CV647,23,No,15,69.79,Seattle,WA,Windows,No
SC396,42,No,12,69.79,San Antonio,TX,Android,Yes
YF119,39,Yes,23,69.71,Columbus,OH,iOS,No
MS987,60,No,31,69.7,Los Angeles,CA,iOS,Yes
PN585,23,No,36,69.7,Houston,TX,iOS,No
LP893,23,No,21,69.7,San Diego,CA,iOS,Yes
HG432,39,No,22,69.69,Fort Worth,TX,Android,Yes
DD242,23,No,38,69.59,Los Angeles,CA,Android,No
CJ727,47,No,17,69.58,Denver,CO,Android,No
XE397,23,No,34,69.54,San Antonio,TX,iOS,Yes
DR533,43,Yes,9,69.5,San Diego,CA,Windows,Yes
XC908,32,No,11,69.49,Charlotte,NC,Android,No
CZ865,55,No,16,69.46,Denver,CO,iOS,Yes
CB577,39,Yes,38,69.43,Chicago,IL,Android,No
ZA559,38,No,23,69.43,Columbus,OH,iOS,No
EU983,33,No,22,69.39,Chicago,IL,Android,No
MN307,33,Yes,18,69.38,San Diego,CA,iOS,Yes
SI290,28,Yes,14,69.28,Seattle,WA,Android,No
QA978,30,Yes,21,69.26,San Jose,CA,Android,Yes
ZS738,34,No,17,69.18,Jacksonville,FL,Android,No
ME744,32,Yes,29,69.16,Denver,CO,iOS,Yes
QU270,25,Yes,10,69.11,Dallas,TX,Android,Yes
TD146,31,No,21,69.03,San Jose,CA,iOS,No
KF535,23,No,30,69.03,Columbus,OH,Android,Yes
AE282,25,No,32,69,Houston,TX,iOS,Yes
GK419,45,No,28,68.98,Jacksonville,FL,iOS,Yes
YC540,31,No,23,68.93,Philadelphia,PA,Windows,No
VG879,36,Yes,12,68.88,Indianapolis,IN,Windows,Yes
XK584,39,Yes,32,68.79,San Jose,CA,Android,Yes
JC969,41,No,16,68.75,Washington,DC,Android,Yes
MM926,61,Yes,36,68.7,Houston,TX,iOS,Yes
RR980,31,Yes,3,68.64,Los Angeles,CA,iOS,Yes
SS971,34,Yes,22,68.62,Jacksonville,FL,Android,No
PB507,24,No,6,68.56,San Diego,CA,iOS,Yes
FZ556,38,No,37,68.54,Philadelphia,PA,Android,Yes
KR120,30,No,35,68.54,Seattle,WA,Android,No
OM555,33,Yes,33,68.53,Los Angeles,CA,Android,Yes
KP649,23,Yes,23,68.48,Washington,DC,Windows,Yes
LK648,35,No,24,68.37,New York,NY,Android,No
EA635,37,No,30,68.35,Indianapolis,IN,Android,Yes
KU965,31,No,5,68.34,Washington,DC,Android,No
AH523,47,No,40,68.31,Jacksonville,FL,Android,Yes
UF856,48,Yes,5,68.27,San Francisco,CA,Windows,Yes
XU461,41,Yes,16,68.26,Dallas,TX,Android,No
HG863,36,Yes,4,68.18,San Francisco,CA,iOS,No
VY764,51,No,27,68.16,Austin,TX,iOS,Yes
YA884,34,No,16,68.11,Indianapolis,IN,Android,Yes
LU764,29,No,20,68.02,Philadelphia,PA,iOS,Yes
UV297,28,No,11,67.87,Charlotte,NC,Android,Yes
NE342,23,Yes,29,67.86,Phoenix,AZ,iOS,Yes
MA653,51,No,9,67.85,Dallas,TX,iOS,Yes
XU410,30,Yes,39,67.82,San Antonio,TX,Windows,Yes
RU262,23,No,3,67.8,Fort Worth,TX,iOS,Yes
OB254,27,No,4,67.79,San Jose,CA,iOS,Yes
RV328,28,No,20,67.7,Washington,DC,Android,Yes
YR278,32,No,11,67.69,Indianapolis,IN,iOS,Yes
GI758,41,No,14,67.67,Chicago,IL,Windows,No
QR380,28,No,5,67.58,Houston,TX,Android,Yes
LY196,23,No,35,67.55,Indianapolis,IN,iOS,No
AA212,31,No,12,67.53,Houston,TX,iOS,Yes
AO548,41,No,31,67.5,Washington,DC,Android,No
UF221,23,Yes,29,67.48,Austin,TX,iOS,No
EX786,29,Yes,3,67.4,San Diego,CA,iOS,Yes
KK470,34,Yes,40,67.27,San Jose,CA,Android,Yes
RX406,39,Yes,22,67.23,Seattle,WA,Android,No
QH907,28,No,12,67.17,San Diego,CA,Windows,Yes
AQ623,32,No,7,67.08,Dallas,TX,Windows,No
EF572,45,No,28,67.07,Seattle,WA,iOS,Yes
UU103,48,No,19,67.04,Houston,TX,iOS,Yes
DI106,43,No,30,66.98,Jacksonville,FL,iOS,Yes
BZ222,45,No,37,66.97,Houston,TX,Android,Yes
XZ923,52,No,6,66.8,Los Angeles,CA,Android,No
WC698,43,Yes,14,66.79,Washington,DC,Windows,No
HM319,30,Yes,29,66.77,Washington,DC,Windows,No
GD871,32,No,12,66.77,Seattle,WA,iOS,Yes
KN945,23,No,33,66.75,New York,NY,iOS,No
MM460,23,No,33,66.75,San Jose,CA,Android,No
ZW535,24,No,26,66.71,Philadelphia,PA,Windows,Yes
WP672,23,No,34,66.66,Phoenix,AZ,Windows,No
ML258,31,No,38,66.56,Philadelphia,PA,iOS,No
ST622,27,Yes,10,66.54,San Antonio,TX,Windows,Yes
FF686,43,No,25,66.47,New York,NY,iOS,Yes
YH872,37,Yes,17,66.45,Dallas,TX,Windows,Yes
AE242,35,No,13,66.43,Phoenix,AZ,Android,Yes
FC446,42,No,27,66.4,Washington,DC,iOS,Yes
FT590,41,No,32,66.37,San Francisco,CA,Android,Yes
KB494,48,No,29,66.33,San Francisco,CA,Windows,No
BO324,47,No,3,66.32,San Jose,CA,iOS,No
GT439,27,No,29,66.21,Phoenix,AZ,Android,No
UO676,23,No,16,66.2,San Francisco,CA,Android,No
XJ314,23,Yes,8,66.11,New York,NY,iOS,Yes
DL544,37,Yes,8,66.08,Denver,CO,iOS,Yes
TL337,48,No,7,65.98,Dallas,TX,Android,Yes
PQ798,35,No,31,65.84,Charlotte,NC,iOS,No
XW704,39,No,3,65.78,Dallas,TX,Windows,No
KQ554,45,No,33,65.76,Washington,DC,iOS,Yes
PY886,37,No,5,65.74,Phoenix,AZ,Windows,Yes
QV919,44,Yes,17,65.72,Houston,TX,iOS,No
XB808,29,Yes,12,65.72,Chicago,IL,iOS,Yes
OG993,23,Yes,5,65.72,Denver,CO,Android,Yes
UY339,32,No,6,65.69,New York,NY,Windows,No
YD145,23,Yes,38,65.67,San Jose,CA,Windows,No
KH392,40,No,32,65.65,Charlotte,NC,Android,Yes
VV863,51,No,32,65.57,Fort Worth,TX,Android,Yes
FC501,36,No,30,65.55,New York,NY,Windows,Yes
LM430,43,Yes,4,65.52,San Diego,CA,Windows,Yes
LU131,25,No,4,65.51,Charlotte,NC,iOS,No
HU720,48,Yes,26,65.51,Dallas,TX,iOS,Yes
DQ259,49,Yes,4,65.43,Austin,TX,Android,No
YD818,40,No,8,65.42,Charlotte,NC,Android,Yes
MB333,38,No,10,65.37,San Jose,CA,iOS,Yes
BI190,23,Yes,13,65.29,Chicago,IL,iOS,Yes
JV576,35,No,31,65.21,Indianapolis,IN,Android,Yes
NY119,23,No,13,65.21,Fort Worth,TX,Windows,Yes
WG426,51,No,27,65.19,Los Angeles,CA,Windows,No
HZ169,44,Yes,38,65.18,San Jose,CA,Windows,No
VJ501,36,Yes,37,65.15,Charlotte,NC,Windows,No
QD239,29,No,3,65.11,Los Angeles,CA,Windows,Yes
JJ322,28,No,26,65.04,Jacksonville,FL,Android,No
CP121,27,No,29,64.94,San Diego,CA,Android,Yes
AM270,43,Yes,19,64.88,Columbus,OH,Android,Yes
JV995,23,No,31,64.82,Dallas,TX,iOS,No
GB958,52,No,18,64.82,San Diego,CA,iOS,No
XL810,30,No,5,64.67,Washington,DC,Android,No
